frame,e2e_ms,pre_ms,infer_ms,post_ms,cpu_util_pct,ram_used_mb,gpu_util_pct,vram_used_mb,power_w
93,24.158299900591373,0.923000043258071,10.711699957028031,12.224899837747216,5.2,14590.4765625,29,801.73046875,15.45
94,39.003599900752306,1.1036000214517117,22.234000032767653,15.398500021547079,8.7,14589.765625,29,801.73046875,15.62
95,40.18189990893006,1.0905000381171703,11.84130017645657,26.97140001691878,2.4,14589.765625,29,801.73046875,15.62
96,34.09009985625744,0.9132998529821634,20.907099824398756,11.982399970293045,12.5,14589.765625,29,801.73046875,15.62
97,33.06439984589815,0.9849001653492451,11.513599893078208,20.309900166466832,7.2,14589.76171875,29,801.73046875,15.776
98,49.94910000823438,1.0500000789761543,22.466900059953332,26.16799995303154,6.0,14589.76171875,29,801.73046875,15.776
99,43.581100180745125,1.0211998596787453,22.2507999278605,20.046699792146683,6.2,14589.609375,29,801.73046875,15.679
100,30.883600004017353,1.1370000429451466,18.686899915337563,10.769899934530258,7.3,14589.61328125,29,801.73046875,15.679
101,53.25970007106662,0.9498000144958496,22.264600032940507,29.79189995676279,3.9,14589.61328125,29,801.73046875,15.679
102,42.06649982370436,1.1054999195039272,15.49770007841289,25.19470010884106,16.7,14589.61328125,29,801.73046875,15.514
103,24.272900074720383,1.0349999647587538,11.404999997466803,11.547100031748414,13.0,14589.61328125,29,801.73046875,15.514
104,26.850000023841858,0.9381999261677265,12.88819988258183,12.752900132909417,9.1,14589.61328125,29,801.73046875,15.514
105,26.259500067681074,1.1622998863458633,11.48580014705658,13.322199927642941,12.5,14589.62109375,29,801.73046875,15.514
106,24.159400025382638,1.004599966108799,12.036200147122145,10.788900079205632,16.3,14589.62109375,29,801.73046875,15.514
107,23.289700038731098,1.0186000727117062,11.273100040853024,10.70460001938045,7.3,14589.62109375,29,801.73046875,15.514
108,31.331899808719754,0.990699976682663,11.086300015449524,18.977800151333213,13.3,14589.62109375,29,801.73046875,15.384
109,25.871400022879243,0.9807001333683729,11.757700005546212,12.864100048318505,0.8,14587.8984375,29,801.73046875,15.384
110,28.67749985307455,1.5910000074654818,11.313199996948242,15.469999983906746,18.9,14587.90625,27,801.73046875,15.384
111,46.80250003002584,1.0647999588400126,16.93350006826222,28.50309992209077,14.6,14588.0234375,27,801.73046875,15.14
112,57.28800012730062,1.3314001262187958,22.41270011290908,33.21280004456639,21.4,14587.8984375,27,801.73046875,15.14
113,42.1486000996083,1.2950999662280083,22.482600063085556,18.032899824902415,20.3,14587.8984375,27,801.73046875,14.921
114,24.952800013124943,1.0692998766899109,11.927899904549122,11.614900082349777,18.2,14587.90234375,27,801.73046875,14.921
115,25.759699987247586,1.0089999996125698,11.93269994109869,12.509400025010109,9.6,14587.8984375,27,801.73046875,14.921
116,27.34309993684292,1.0822000913321972,11.858300073072314,14.104499947279692,18.9,14587.90234375,27,801.73046875,14.921
117,26.03340009227395,0.9586999658495188,11.704899836331606,13.051900081336498,22.0,14587.8984375,27,801.73046875,14.968
118,25.648799957707524,1.244500046595931,12.019299902021885,12.061499990522861,16.9,14587.9296875,27,801.73046875,14.968
119,27.563099982216954,1.0672998614609241,12.72389991208911,13.465599855408072,6.9,14587.93359375,27,801.73046875,14.968
120,26.87889989465475,1.1243000626564026,11.843700194731355,13.559000100940466,18.3,14587.9375,27,801.73046875,14.928
121,26.290900073945522,1.2310000602155924,12.296299915760756,12.449100147932768,100.0,14587.93359375,27,801.73046875,14.928
122,24.471400072798133,1.150399912148714,11.888100067153573,11.122399941086769,16.7,14587.93359375,27,801.73046875,14.928
123,41.166100185364485,1.0875000152736902,12.006100034341216,27.770299930125475,7.1,14587.93359375,27,801.73046875,14.928
124,43.29519998282194,1.1269000824540854,21.79150003939867,20.089400000870228,7.5,14587.93359375,27,801.73046875,14.721
125,30.781300039961934,1.3818999286741018,14.741000020876527,14.341499889269471,9.8,14587.93359375,27,801.73046875,14.721
126,24.80360004119575,1.086000120267272,11.257000034675002,12.195500079542398,10.5,14587.93359375,27,801.73046875,14.721
127,35.03390005789697,0.9564999490976334,11.837300145998597,21.948300069198012,6.6,14587.93359375,27,801.73046875,14.504
128,30.13999992981553,0.92559983022511,11.682000011205673,17.277099890634418,8.1,14587.93359375,27,801.73046875,14.504
129,28.284400003030896,0.9820000268518925,11.265299981459975,15.777199994772673,12.5,14587.93359375,27,801.73046875,14.504
130,23.47899996675551,1.0855000000447035,11.48390001617372,10.64380002208054,2.3,14587.96484375,27,801.73046875,14.3
131,26.321300072595477,1.0784000623971224,14.727599918842316,10.25440008379519,9.8,14587.96484375,27,801.73046875,14.3
132,42.128399945795536,1.024200115352869,21.108899964019656,19.6964000351727,5.3,14587.96484375,27,801.73046875,14.3
133,43.24450017884374,0.9057000279426575,16.927599906921387,25.10560001246631,3.3,14587.96484375,27,801.73046875,14.354
134,32.99720003269613,0.9818000253289938,11.43039995804429,20.314199849963188,7.0,14587.96484375,27,801.73046875,14.354
135,46.08669993467629,1.1672000400722027,21.133300149813294,23.369300179183483,3.3,14587.99609375,27,801.73046875,14.32
136,23.845599964261055,1.012700144201517,12.456699972972274,10.121600003913045,21.4,14587.99609375,27,801.73046875,14.32
137,48.278900096192956,1.3193001504987478,20.52180003374815,26.1502000503242,5.5,14588.02734375,27,801.73046875,14.32
138,37.330999970436096,1.107499934732914,20.831699948757887,15.129299834370613,3.4,14588.03125,27,801.73046875,14.162
139,24.422300048172474,0.9705000557005405,11.440300149843097,11.732799932360649,14.3,14587.76171875,25,801.73046875,14.162
140,44.22259982675314,1.4315999578684568,21.153399953618646,21.354699973016977,8.5,14587.76171875,25,801.73046875,14.162
141,28.79530005156994,0.9394001681357622,11.239100014790893,16.363199800252914,3.2,14587.76171875,25,801.73046875,13.965
142,31.02330002002418,1.0996998753398657,18.244300037622452,11.396899819374084,6.1,14587.76171875,25,801.73046875,13.965
143,23.664299864321947,1.0075001046061516,11.738500092178583,10.627100011333823,5.9,14587.765625,25,801.73046875,13.965
144,27.187300147488713,1.1542998254299164,17.5673000048846,8.121700026094913,18.5,14587.765625,25,801.73046875,13.949
145,21.22560003772378,1.2626999523490667,10.082599939778447,9.587600128725171,4.7,14587.765625,25,801.73046875,13.949
146,27.365899877622724,1.007599988952279,16.351299826055765,9.709800127893686,4.5,14587.765625,25,801.73046875,13.949
147,30.388299841433764,0.9341000113636255,16.830099979415536,12.366600101813674,3.6,14587.765625,25,801.73046875,13.949
148,22.533199982717633,0.9276000782847404,11.70299993827939,9.619500022381544,13.2,14587.765625,25,801.73046875,14.04
149,21.64639998227358,1.0973000898957253,10.791300097480416,9.488600073382258,5.4,14587.765625,25,801.73046875,14.04
150,40.20450008101761,0.9261998347938061,21.3319999165833,17.690900014713407,11.8,14587.7578125,25,801.73046875,14.04
151,27.75540016591549,1.0934998281300068,11.398999951779842,14.946599956601858,14.0,14587.69921875,25,801.73046875,13.801
152,26.487299939617515,1.5836001839488745,11.6265001706779,12.998400023207068,3.9,14586.3671875,25,801.73046875,13.801
153,26.933599961921573,0.9367000311613083,11.833100114017725,13.877500081434846,10.8,14593.61328125,25,801.73046875,13.801
154,37.235100055113435,1.0117001365870237,11.511699995025992,24.402400013059378,19.2,14600.578125,25,801.73046875,13.726
155,51.76840000785887,1.2962999753654003,21.415000082924962,28.758300002664328,15.3,14614.296875,25,801.73046875,13.726
156,51.64720001630485,1.1959997937083244,21.44929999485612,28.677599970251322,4.4,14628.5859375,25,801.73046875,13.595
157,27.326500043272972,1.0800999589264393,12.271199841052294,13.657100033015013,10.9,14628.15234375,25,801.73046875,13.595
158,24.80899984948337,1.003500074148178,11.369099840521812,12.13709986768663,31.2,14628.1328125,25,801.73046875,13.595
159,25.912399869412184,0.9874999523162842,11.623199796304107,13.015100033953786,10.3,14627.99609375,25,801.73046875,13.595
160,25.974599877372384,1.0544999968260527,11.749600060284138,12.88549997843802,14.7,14627.9921875,25,801.73046875,13.625
